DnB Export Restriction SFDC,DnB Export Restriction - All,Add To New Account Master,Model Tag,Insights Tag,Internal Enrichment Tag,External Enchrichment Tag,Segmentation Tag,Segment Bucketing,Internal Name,Display Name,Description,Data Type,Availability,Possible Values Code Table,Category,Statistical Type,DisplayDiscretizationStrategy,FundamentalType
Y,Y,Y,N,N,Y,N,Y,N,HEADQUARTER_PARENT_POSTAL_CODE,Headquarter/Parent Postal Code,The postal code where the Parent/Headquarter is located.Available globally.Blank-filled when not available.,Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,HEADQUARTER_PARENT_DnB_CONTINENT,Headquarter/Parent Continent Code,"Geographical code identifying the region where the Parent/Headquarter is located. Available globally.Blank-filled when not available.""""1 = Africa     2 = Australia/Asia      3 = Europe4 = Middle East     5 = South & Central America6 = North America""""",Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,1 = Africa     2 = Australia/Asia      3 = Europe4 = Middle East     5 = South & Central America6 = North America,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,N,N,N,N,N,N,N,FILLER5,N.A.,N.A.,,,,,,,
Y,Y,Y,N,N,Y,N,Y,N,DOMESTIC_ULTIMATE_DUNS_NUMBER,Domestic Ultimate D-U-N-S Number,"The D-U-N-S Number for the domestic ultimate, which is the highest family member in the same country as case business record as you walk up this branch of the tree. A case may be its own domestic ultimate.  May contain lead zeros which will be lost if field is treated as numeric.  Use only the 9 right-most digits.Available globally.",Alpha-Numeric,Low population.Available globally.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,N,N,DOMESTIC_ULTIMATE_BUSINESS_NAME,Domestic Ultimate Business Name,The primary name of the domestic ultimate business. Available globally.Blank-filled when not available.,Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,N,N,DOMESTIC_ULTIMATE_STREET_ADDRESS,Domestic Ultimate Street Address,The physical street address of the domestic ultimate company.Available globally.Blank-filled when not available.,Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,DOMESTIC_ULTIMATE_CITY_NAME,Domestic Ultimate City Name,The name of the city where the domestic ultimate is located. Available globally.Blank-filled when not available.,Alpha,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,DOMESTIC_ULTIMATE_STATE_PROVINCE,Domestic Ultimate State/Province Name,The state/province in which the domestic ultimate is located.Available globally.Blank-filled when not available.,Alpha,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,DOMESTIC_ULTIMATE_DnB_CITY_CODE,Domestic Ultimate City Code,Geographical code identifying the city where the domestic ultimate is located.Available globally.,Alpha-Numeric,Low population.Available globally.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,DOMESTIC_ULTIMATE_DnB_COUNTRY_CODE,Domestic Ultimate Country Code,Geographical code identifying the country where the domestic ultimate is located.,Alpha-Numeric,Low population.Available globally.,All possible values found on:Country Code Table.,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,DOMESTIC_ULTIMATE_STATE_PROV_ABR,Domestic Ultimate State/Province Abbreviation,The abbreviated name of the state or province in which the domestic ultimate is located.  Available globally.Blank-filled when not available.,Alpha,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,DOMESTIC_ULTIMATE_POSTAL_CODE,Domestic Ultimate Postal Code,The postal code for the city in which the domestic ultimate is located.  Available globally.Blank-filled when not available.,Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,GLOBAL_ULTIMATE_INDICATOR,Global Ultimate Indicator,"Indicates whether the site record is the Global Ultimate D-U-N-S within the corporate family tree. Available globally.""""Y - Is the global ultimateN - Is not the global ultimate""""",Alpha,Low population.Available globally.,Y - Is the global ultimateN - Is not the global ultimate,FIRMOGRAPHICS,NOMINAL,,BOOLEAN
N,N,N,N,N,N,N,N,N,FILLER6,N.A.,N.A.,,,,,,,
Y,Y,Y,N,N,Y,N,Y,N,GLOBAL_ULTIMATE_DUNS_NUMBER,Global Ultimate D-U-N-S Number,The D-U-N-S number of the highest parent of a corporate family.  Global ultimate records carry their own case D-U-N-S number in this field so that a common sort and/or match area is available for all family members.   May contain lead zeros which will be lost if field is treated as numeric.  Use only the 9 right-most digits.Available globally.,Alpha-Numeric,Low population.Available globally.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,N,N,GLOBAL_ULTIMATE_BUSINESS_NAME,Global Ultimate Business Name,The name of the ultimate company.  Available globally.Blank-filled when not available.,Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,N,N,GLOBAL_ULTIMATE_STREET_ADDRESS,Global Ultimate Street Address,The physical address of the ultimate company. Available globally.Blank-filled when not available.,Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,GLOBAL_ULTIMATE_CITY_NAME,Global Ultimate City Name,The name of the city where the ultimate company is located. Available globally.Blank-filled when not available.,Alpha,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,GLOBAL_ULTIMATE_STATE_PROVINCE_NAME,Global Ultimate State/Province Name,The state/province in which the ultimate company is located. Available globally.Blank-filled when not available.,Alpha,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,GLOBAL_ULTIMATE_COUNTRY_NAME,Global Ultimate Country Name,The name of the country where the ultimate company is located.Available globally.Blank-filled when not available.,Alpha,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,GLOBAL_ULTIMATE_DnB_CITY_CODE,Global Ultimate City Code,Geographical code identifying the city where the ultimate company is located.Available globally.Blank-filled when not available.,Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,GLOBAL_ULTIMATE_DnB_COUNTY_CODE,Global Ultimate County Code,Geographical code identifying the county where the ultimate company is located.  Available globally.,Alpha-Numeric,Low population.Available globally.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,GLOBAL_ULTIMATE_STATE_PROV_ABR,Global Ultimate State/Province Abbreviation,The abbreviated name of the state/province where the ultimate company is located. Available globally.Blank-filled when not available.,Alpha,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,GLOBAL_ULTIMATE_DnB_COUNTRY_CODE,Global Ultimate Country Code,Geographical code identifying the country where the ultimate company is located.Available globally.,Alpha-Numeric,Low population.Available globally.,All possible values found on:Country Code Table.,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,GLOBAL_ULTIMATE_POSTAL_CODE,Global Ultimate Postal Code,The postal code of the ultimate company. Available globally. Blank-filled when not available.,Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,GLOBAL_ULTIMATE_DnB_CONTINENT_CODE,Global Ultimate Continent Code,"Geographical code identifying the region is which the ultimate company is located.  Available globally.Blank-filled when not available.""""1 = Africa     2 = Australia/Asia      3 = Europe4 = Middle East     5 = South & Central America6 = North America""""",Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,1 = Africa     2 = Australia/Asia      3 = Europe4 = Middle East     5 = South & Central America6 = North America,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,Y,Y,Y,N,Y,N,NUMBER_OF_FAMILY_MEMBERS,Number of Family Members,The number of family members including the global ultimate and all subsidiaries and branches of the entire family tree worldwide.  All family members within a particular tree carry the same count.  Available globally.,Numeric,Low population.Available globally.,,FIRMOGRAPHICS,RATIO,"{""unified"": {}}",NUMERIC
Y,Y,Y,N,N,Y,N,Y,N,DIAS_CODE,DIAS Code,"A number which sequences a file in order by ultimate parent name and family sequence within each group.  The DIAS Code is not permanently assigned and changes when corporate linkage is added, deleted or changed. Available globally. Blank-filled when not available.",Alpha-Numeric,Low population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,HIERARCHY_CODE,Hierarchy Code,A number used with the status and subsidiary indicators to pinpoint the location of an establishment within a corporate hierarchy.  The hierarchy on the global ultimate is '01'.  A branch hierarchy is the same as its headquarters'. A subsidiary's hierarchy is one more than its parent's.  The code may be defined as follows: Status     Subsidiary     Hierarchy   Description        1             0                   01                Global Ultimate         1             3                   02                Headquarters-(Sub I)        2             0                   02                Branch of Sub I         1             3                   03                Subsidiary of Sub I-(Sub II),Alpha-Numeric,Low population.Available globally.,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,LAST_UPDATE_DATE,Last Update Date,The date when selected information on the business record was last updated. Available globally.Blank-filled when not available.,Alpha-Numeric,Moderate population.Available globally.Blank-filled when not available.,,FIRMOGRAPHICS,NOMINAL,,DATE
Y,Y,Y,N,N,Y,N,N,N,RECORD_SOURCE_CODE,Record Source Code,"Replaces WB ""Filler"" field with Source/Sequence code. Record Source: Lattice Duns(LDN), Lattice Domain/URL(LDU), Lattice Name & Address(LNA), Lattice unmatched( LUN), Remainder of D&B Worldbase (DWB)",Alpha-Numeric,,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,Y,Y,N,Y,Y,N,PREMIUM_MARKETING_PRESCREEN,Payment Default Risk,"Payment Default Risk, a.k.a Delinquency Predictor utilizes the business's Commercial Credit Score to identify the likelihood of a company to pay bills on-time or with delinquency of less than 90 days beyond terms during the next 6 months. It provides five tiers of scoring to provide greater insight into how to prioritize your prospect list. 
 1 - Low Risk (Most Likely to Pay) 
 2 - Medium - Low Risk 
 3 - Medium Risk 
 4 - Medium - High Risk 
 5 - Very High Risk (Least Likely to Pay). 
 Available only for US.",Numeric,,,GROWTH_TRENDS,RATIO,"{""unified"": {}}",NUMERIC
N,N,Y,N,N,N,Y,Y,N,CLUSTER_TPS,Cluster TPS,"There are a total of 27 different Triple Play Cluster Values based on the three scores with a value of 2 representing Good risk, 1 representing Average risk and 0 representing Bad risk for the scores. If the Triple Play Cluster Value is ""0,2,2"" - it means higher potential for going out of business within next 12 months - set higher price to try an gain margin in first year; no longer term contracts, do not place on costly retention program. If the Triple Play Cluster Value is ""2,2,2""-- it could generate an automated yes decision, set most attractive price, place on highest priority for nurture and grow program.",Alpha-Numeric,,,GROWTH_TRENDS,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,Y,N,TRIPLE_PLAY_SEGMENT,Credit Risk Rank,"Credit Risk Rank puts the business into a segment making it easy to identify and assign treatment strategy. It is a combined score taking into account the viability of the business, risk of payment default and commercial credit score. Business with rank 1 are good to promote whereas a 5 is a caution to avoid business. Available only for US.
 1- Promote
 2- Viable
 3- Promote higher margins. Lifetime may be small.
 4- Proceed with caution
 5- Avoid. Highest risk.",Numeric,,,GROWTH_TRENDS,RATIO,"{""unified"": {}}",NUMERIC
N,N,Y,N,N,N,Y,Y,N,CLUSTER_CRS,Cluster CRS,The Cluster Composite Risk Score is 3 digits representing the individual scores it comprises as follows: 1st Digit - Viability portfolio (1-3) . 2nd Digit - Total Loss (1-3)  3rd Digit - Delinquency (1-3) Each score's value is as follows: 1 - Low Risk  2 - Medium Risk 3 - High Risk .   *US data availability only.,Alpha-Numeric,,,GROWTH_TRENDS,NOMINAL,,ALPHA
N,N,Y,N,N,N,Y,Y,N,COMPOSITE_RISK_SCORE,Composite Risk Score,"The Composite Risk Score is based on combination of 3 scores: Delinquency, Viability Rating and Total Loss. But it has different algorithm than Triple Play Score about combining them together. It has values from 3 to 9 with 9 representing the highest risk.",Numeric,,,GROWTH_TRENDS,RATIO,"{""unified"": {}}",NUMERIC
N,N,Y,N,N,N,Y,Y,N,TOTAL_CREDIT_BALANCE_RANKING_CR,Outstanding Credit Balance Rank,Provides a rank (1-10) based on the likelihood of the business to have an outstanding credit balance. 1 denoting low likelihood balance to 10 high likelihood of outstanding credit balance. Available only for US.,Alpha-Numeric,,,GROWTH_TRENDS,RATIO,"{""unified"": {}}",NUMERIC
N,N,Y,N,N,N,Y,Y,N,LEASE_BALANCE_RANKING_1_TO_10,Lease Balance Rank,Provides a rank (1-10) based on the likelihood of the business to have an outstanding lease balance. 1 denoting low likelihood of lease balance to 10 high likelihood. Available only for US.,Alpha-Numeric,,,FIRMOGRAPHICS,RATIO,"{""unified"": {}}",NUMERIC
N,N,Y,N,N,N,Y,Y,N,PROPENSITY_TO_HAVE_A_LEASE_ACCOUNT,Likelihood to Lease,Provides a rank (1-10) to the business's likelihood to lease equipments and materials based on its history. 1 denoting high likelihood to lease to 10 low likelihood to lease. Available only for US.,Alpha-Numeric,,,GROWTH_TRENDS,RATIO,"{""unified"": {}}",NUMERIC
N,N,Y,N,N,N,Y,Y,N,PROPENSITY_TO_HAVE_A_LINE_OF_CRE,Likelihood of Credit Account,Provides a rank (1-10) to the business's likelihood to have a line of credit based on its history. 1 denoting high likelihood to have a credit account to 10 low likelihood to have a credit account. Available only for US.,Alpha-Numeric,,,GROWTH_TRENDS,RATIO,"{""unified"": {}}",NUMERIC
N,N,Y,N,N,N,Y,Y,N,CREDIT_CARD_RESPONSE_R,Financial Offer Response Rate,"This identifies how likely the business owner is to repsond to a financial offer. It is based on extensive profiling of responders to small business credit card offer campaigns run over the last 3 years. It can be leveraged for similar financial offers. Ranked into Segments 1 to 10, with Segment 1 indicating highest probabilities, and 10, the lowest ranks business to respond to a small business credit card offer. Available only for US.",Alpha-Numeric,,,GROWTH_TRENDS,RATIO,"{""unified"": {}}",NUMERIC
N,N,Y,N,N,Y,N,N,N,HOTLIST_ADDRESS_CHAN,HOTLIST - ADDRESS CHAN,N.A.,Alpha-Numeric,,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,Y,N,N,N,HOTLIST_CEO_CHANGE,HOTLIST - CEO CHANGE,N.A.,Alpha-Numeric,,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,Y,N,N,N,HOTLIST_COMPANY_NAME_CHG,HOTLIST - COMPANY NAME CHG,N.A.,Alpha-Numeric,,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,Y,N,N,N,HOTLIST_NEW,HOTLIST -NEW,N.A.,Alpha-Numeric,,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,Y,N,N,N,HOTLIST_OWNERSHIP_CH,HOTLIST - OWNERSHIP CH,N.A.,Alpha-Numeric,,,FIRMOGRAPHICS,NOMINAL,,ALPHA
N,N,Y,N,N,Y,N,N,N,HOTLIST_TELEPHONE_NUMBER_CH,HOTLIST - TELEPHONE NUMBER CH,N.A.,Alpha-Numeric,,,FIRMOGRAPHICS,NOMINAL,,ALPHA
Y,Y,Y,N,N,Y,N,Y,N,OUT_OF_BUSINESS_INDICATOR,OUT OF BUSINESS INDICATOR,"Boolean (1=Yes, 0=No) Note that 'Yes' means that the entity is out of business.",Boolean,Available globally.,"1 = Yes, 0 = No",FIRMOGRAPHICS,NOMINAL,,BOOLEAN
