Expected Top Features,num/cat,Pos/Neg,criteria 1 (population perc and lift),1_PopulationPercent,1_Lift,criteria 2 (Trend metric),criteria 3 (bias),3_Lift,Flag,Comment
CloudTechnologies_FinancialAnalyticalApplications,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_GRC,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_HardwareBasic_One,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_HardwareBasic_Two,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_HardwareOther,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_HelpDeskManagement,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_HRMS_HCM,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_Hypervisor,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_IaaS,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_InventoryManagement,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ITGovernance_One,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ITGovernance_Two,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ITInfrastructureOperations,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ITManagement,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_LeanKaizenValueStreamMapping,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_LegalProfessionalServices,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_MainframeComputers,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ManufacturingEngineering,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_MarketingPerfMgmt_One,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_MarketingPerfMgmt_Two,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_MarketingPerformanceMeasurement,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_Media,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_Medical,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_MiddlewareSoftware,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_MidrangeComputers,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_MobileEnterpriseManagement,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_MobileTechnologies,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_NetworkComputing_One,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_NetworkComputing_Two,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_NetworkManagementHardware,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_NetworkManagementSoftware,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_NewTechnologyDetected,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_OSComputingLanguages,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_OVP,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_PaaS,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_PartnerManagement,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_Philanthropic,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_PLM,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_PPM,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_Printers,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_Procurement,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ProductivitySltns_One,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ProductivitySltns_Two,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ProductivitySolutions,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ProjectManagement,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ProjectMgnt_One,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ProjectMgnt_Two,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_QualityManagementSystem,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_RealEstate,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_RemoteComputerServerSolutions,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ReportingSoftware,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_Retail,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_SCM,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_SearchEngine,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ServerTechnologiesHardware,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ServerTechnologiesSoftware,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_ServiceFieldSupportManagement,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_SIEM,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_SocialMediaSystems,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_SoftwareBasic_One,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_SoftwareBasic_Two,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_SoftwareOther,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_SRM,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_SustainabilityGreenEnterprise,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_SystemAnalyticsMonitoring,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_SystemSecurityServices,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_Telephony,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_TravelandExpenseManagement,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_VerticalMarkets_One,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_VerticalMarkets_Two,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_VirtualizationAppDesktop,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_VirtualizationPlatformMgmt,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_VirtualizationServerDataCenter,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_VisualizationSoftware,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_WCMS,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_WebOrntdArch_One,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_WebOrntdArch_Two,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
CloudTechnologies_WebPortalTechnology,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
ConsolidatedIndustry,cat,Pos,any category with population percent < 2% and Lift > 3X,0.02,3,Any category with lift >= 4X,,,If criteria 1 or critera passes,
FeatureAverageDocumentSizeFetched,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
FeatureAverageDocumentSizeProcessed,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
HPANumPages,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
SemrushAdwordsCost,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
SemrushAdwordsKeywords,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
SemrushAdwordsTraffic,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
SemrushOrganicCost,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
SemrushOrganicKeywords,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
SemrushOrganicTraffic,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
SemrushRank,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) < lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,"Depending on SMB/ENT model split, the behavior differs"
Twitter_Followers,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
Twitter_Following,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
Twitter_Tweets,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
NUMBER_OF_FAMILY_MEMBERS,num,Pos,population percent < 2% and Lift > 3X,0.02,3,"Verify for each interval: lift(x1) > lift(x2) where x1 and x2 intervals in sequence and interval x1 is preceding interval to interval x2
if this is satisfied more than once",Any interval with lift >= 4X,4,If criteria 1 or critera 2 or criter 3 passes,
