New Metro Name,Country
Wonju-Si,Korea (South)
Wonmi-Gu Bucheon-Si,Korea (South)
Yangcheon-Gu,Korea (South)
Yanggu-Gun,Korea (South)
Yangju-Si,Korea (South)
Yangpyeong-Gun,Korea (South)
Yangsan-Si,Korea (South)
Yangyang-Gun,Korea (South)
Yecheon-Gun,Korea (South)
Yeoju-Gun,Korea (South)
Yeoncheon-Gun,Korea (South)
Yeongam-Gun,Korea (South)
Yeongcheon-Si,Korea (South)
Yeongdeok-Gun,Korea (South)
Yeongdeungpo-Gu,Korea (South)
Yeongdo-Gu,Korea (South)
Yeongdong-Gun,Korea (South)
Yeonggwang-Gun,Korea (South)
Yeongi-Gun,Korea (South)
Yeongju-Si,Korea (South)
Yeongtong-Gu Suwon-Si,Korea (South)
Yeongwol-Gun,Korea (South)
Yeongyang-Gun,Korea (South)
Yeonje-Gu,Korea (South)
Yeonsu-Gu,Korea (South)
Yeosu-Si,Korea (South)
Yesan-Gun,Korea (South)
Yongsan-Gu,Korea (South)
Yuseong-Gu,Korea (South)
"Ashburton, CAN",New Zealand
"Auckland, AUK",New Zealand
"Buller, WTC",New Zealand
"Carterton, WGN",New Zealand
"Central Hawke's Bay, HKB",New Zealand
"Central Otago, OTA",New Zealand
"Christchurch, CAN",New Zealand
"Clutha, OTA",New Zealand
"Dunedin, OTA",New Zealand
"Far North, NTL",New Zealand
"Gisborne, GIS",New Zealand
"Gore, STL",New Zealand
"Grey, WTC",New Zealand
"Hamilton, WKO",New Zealand
"Hastings, HKB",New Zealand
"Hauraki, WKO",New Zealand
"Horowhenua, MWT",New Zealand
"Hurunui, CAN",New Zealand
"Invercargill, STL",New Zealand
"Kaikoura, CAN",New Zealand
"Kaipara, NTL",New Zealand
"Kapiti Coast, WGN",New Zealand
"Kawerau, BOP",New Zealand
"Lower Hutt, WGN",New Zealand
"Mackenzie, CAN",New Zealand
"Manawatu, MWT",New Zealand
"Marlborough, MBH",New Zealand
"Masterton, WGN",New Zealand
"Matamata-Piako, WKO",New Zealand
"Napier, HKB",New Zealand
"Nelson, NSN",New Zealand
"New Plymouth, TKI",New Zealand
"Opotiki, BOP",New Zealand
"Otorohanga, WKO",New Zealand
"Palmerston North, MWT",New Zealand
"Porirua, WGN",New Zealand
"Queenstown-Lakes, OTA",New Zealand
"Rangitikei, MWT",New Zealand
"Rotorua, BOP",New Zealand
"Ruapehu, MWT",New Zealand
"Selwyn, CAN",New Zealand
"South Taranaki, TKI",New Zealand
"South Waikato, WKO",New Zealand
"South Wairarapa, WGN",New Zealand
"Southland, STL",New Zealand
"Stratford, TKI",New Zealand
"Tararua, MWT",New Zealand
"Tasman, TAS",New Zealand
"Taupo, WKO",New Zealand
"Tauranga, BOP",New Zealand
"Thames-Coromandel, WKO",New Zealand
"Timaru, CAN",New Zealand
"Upper Hutt, WGN",New Zealand
"Waikato, WKO",New Zealand
"Waimakariri, CAN",New Zealand
"Waimate, CAN",New Zealand
"Waipa, WKO",New Zealand
"Wairoa, HKB",New Zealand
"Waitaki, OTA",New Zealand
"Waitomo, WKO",New Zealand
"Wanganui, MWT",New Zealand
"Wellington, WGN",New Zealand
"Western Bay Of Plenty, BOP",New Zealand
"Westland, WTC",New Zealand
"Whakatane, BOP",New Zealand
"Whangarei, NTL",New Zealand
Afjord,Norway
Agdenes,Norway
Al,Norway
Alesund,Norway
Alstahaug,Norway
Alta,Norway
Alvdal,Norway
Amli,Norway
Amot,Norway
Andebu,Norway
Andoy,Norway
Ardal,Norway
Aremark,Norway
Arendal,Norway
As,Norway
Aseral,Norway
Asker,Norway
Askim,Norway
Askoy,Norway
Askvoll,Norway
Asnes,Norway
Audnedal,Norway
Aukra,Norway
Aure,Norway
Aurland,Norway
Aurskog-Holand,Norway
Austevoll,Norway
Austrheim,Norway
Averoy,Norway
Baerum,Norway
Balestrand,Norway
Ballangen,Norway
Balsfjord,Norway
Bamble,Norway
Bardu,Norway
Batsfjord,Norway
Beiarn,Norway
Berg,Norway
Bergen,Norway
Berlevag,Norway
Bindal,Norway
Birkenes,Norway
Bjarkoy,Norway
Bjerkreim,Norway
Bjugn,Norway
Bo (Nordland),Norway
Bo (Telemark),Norway
Bodo,Norway
Bokn,Norway
Bomlo,Norway
Bremanger,Norway
Bronnoy,Norway
Bygland,Norway
Bykle,Norway
Deatnu Tana,Norway
Donna,Norway
Dovre,Norway
Drammen,Norway
Drangedal,Norway
Dyroy,Norway
Eid,Norway
Eide,Norway
Eidfjord,Norway
Eidsberg,Norway
Eidskog,Norway
Eidsvoll,Norway
Eigersund,Norway
Elverum,Norway
Enebakk,Norway
Engerdal,Norway
Etne,Norway
Etnedal,Norway
Evenes,Norway
Evje Og Hornnes,Norway
Farsund,Norway
Fauske,Norway
Fedje,Norway
Fet,Norway
Finnoy,Norway
Fitjar,Norway
Fjaler,Norway
Fjell,Norway
Fla,Norway
Flakstad,Norway
Flatanger,Norway
Flekkefjord,Norway
Flesberg,Norway
Flora,Norway
Folldal,Norway
Forde,Norway
Forsand,Norway
Fosnes,Norway
Fraena,Norway
Fredrikstad,Norway
Frogn,Norway
Froland,Norway
Frosta,Norway
Froya,Norway
Fusa,Norway
Fyresdal,Norway
Gaivuotna-Kafjord,Norway
Gamvik,Norway
Gaular,Norway
Gausdal,Norway
Gildeskal,Norway
Giske,Norway
Gjemnes,Norway
Gjerdrum,Norway
Gjerstad,Norway
Gjesdal,Norway
Gjovik,Norway
Gloppen,Norway
Gol,Norway
Gran,Norway
Grane,Norway
Granvin,Norway
Gratangen,Norway
Grimstad,Norway
Grong,Norway
Grue,Norway
Gulen,Norway
Ha,Norway
Hadsel,Norway
Haegebostad,Norway
Halden,Norway
Halsa,Norway
Hamar,Norway
Hamaroy,Norway
Hammerfest,Norway
Haram,Norway
Hareid,Norway
Harstad,Norway
Hasvik,Norway
Hattfjelldal,Norway
Haugesund,Norway
Hemne,Norway
Hemnes,Norway
Hemsedal,Norway
Heroy (More Og Romsdal),Norway
Heroy (Nordland),Norway
Hitra,Norway
Hjartdal,Norway
Hjelmeland,Norway
Hobol,Norway
Hof,Norway
Hol,Norway
Hole,Norway
Holmestrand,Norway
Holtalen,Norway
Hornindal,Norway
Horten,Norway
Hoyanger,Norway
Hoylandet,Norway
Hurdal,Norway
Hurum,Norway
Hvaler,Norway
Hyllestad,Norway
Ibestad,Norway
Inderoy,Norway
Iveland,Norway
Jevnaker,Norway
Jolster,Norway
Jondal,Norway
Karasjok,Norway
Karlsoy,Norway
Karmoy,Norway
Kautokeino,Norway
Klaebu,Norway
Klepp,Norway
Kongsberg,Norway
Kongsvinger,Norway
Kragero,Norway
Kristiansand (Vest-Agder),Norway
Kristiansund (More Og Romsdal),Norway
Krodsherad,Norway
Kvaefjord,Norway
Kvaenangen,Norway
Kvalsund,Norway
Kvam,Norway
Kvinesdal,Norway
Kvinnherad,Norway
Kviteseid,Norway
Kvitsoy,Norway
Laerdal,Norway
Lardal,Norway
Larvik,Norway
Lavangen,Norway
Lebesby,Norway
Leikanger,Norway
Leirfjord,Norway
Leka,Norway
Leksvik,Norway
Lenvik,Norway
Lesja,Norway
Levanger,Norway
Lier,Norway
Lierne,Norway
Lillehammer,Norway
Lillesand,Norway
Lindas,Norway
Lindesnes,Norway
Lodingen,Norway
Lom,Norway
Loppa,Norway
Lorenskog,Norway
Loten,Norway
Lund,Norway
Lunner,Norway
Luroy,Norway
Luster,Norway
Lyngdal,Norway
Lyngen,Norway
Malselv,Norway
Malvik,Norway
Mandal,Norway
Marker,Norway
Marnardal,Norway
Masfjorden,Norway
Masoy,Norway
Meland,Norway
Meldal,Norway
Melhus,Norway
Meloy,Norway
Meraker,Norway
Midsund,Norway
Midtre Gauldal,Norway
Modalen,Norway
Modum,Norway
Molde,Norway
Moskenes,Norway
Moss,Norway
Naeroy,Norway
Namdalseid,Norway
Namsos,Norway
Namsskogan,Norway
Nannestad,Norway
Narvik,Norway
Naustdal,Norway
Nedre Eiker,Norway
Nes (Akershus),Norway
Nes (Buskerud),Norway
Nesna,Norway
Nesodden,Norway
Nesset,Norway
Nissedal,Norway
Nittedal,Norway
Nome,Norway
Nord-Aurdal,Norway
Norddal,Norway
Nord-Fron,Norway
Nordkapp,Norway
Nord-Odal,Norway
Nordre Land,Norway
Nordreisa,Norway
Nore Og Uvdal,Norway
Notodden,Norway
Notteroy,Norway
Odda,Norway
Oksnes,Norway
Oppdal,Norway
Oppegard,Norway
Orkdal,Norway
Orland,Norway
Orskog,Norway
Orsta,Norway
Os (Hedmark),Norway
Os (Hordaland),Norway
Osen,Norway
Oslo,Norway
Osteroy,Norway
Ostre Toten,Norway
Overhalla,Norway
Ovre Eiker,Norway
Oyer,Norway
Oygarden,Norway
Oystre Slidre,Norway
Porsanger,Norway
Porsgrunn,Norway
Rade,Norway
Radoy,Norway
Raelingen,Norway
Rakkestad,Norway
Rana,Norway
Randaberg,Norway
Rauma,Norway
Re,Norway
Rendalen,Norway
Rennebu,Norway
Rennesoy,Norway
Rindal,Norway
Ringebu,Norway
Ringerike,Norway
Ringsaker,Norway
Risor,Norway
Rissa,Norway
Roan,Norway
Rodoy,Norway
Rollag,Norway
Romskog,Norway
Roros,Norway
Rost,Norway
Royken,Norway
Royrvik,Norway
Rygge,Norway
Salangen,Norway
Saltdal,Norway
Samnanger,Norway
Sande (More Og Romsdal),Norway
Sande (Vestfold),Norway
Sandefjord,Norway
Sandnes,Norway
Sandoy,Norway
Sarpsborg,Norway
Sauda,Norway
Sauherad,Norway
Sel,Norway
Selbu,Norway
Selje,Norway
Seljord,Norway
Sigdal,Norway
Siljan,Norway
Sirdal,Norway
Skanland,Norway
Skaun,Norway
Skedsmo,Norway
Ski,Norway
Skien,Norway
Skiptvet,Norway
Skjak,Norway
Skjervoy,Norway
Skodje,Norway
Smola,Norway
Snasa,Norway
Snillfjord,Norway
Sogndal,Norway
Sogne,Norway
Sokndal,Norway
Sola,Norway
Solund,Norway
Somna,Norway
Sondre Land,Norway
Songdalen,Norway
Sor-Aurdal,Norway
Sorfold,Norway
Sor-Fron,Norway
Sor-Odal,Norway
Sorreisa,Norway
Sortland,Norway
Sorum,Norway
Sor-Varanger,Norway
Spydeberg,Norway
Stange,Norway
Stavanger,Norway
Steigen,Norway
Steinkjer,Norway
Stjordal,Norway
Stokke,Norway
Stord,Norway
Stordal,Norway
Stor-Elvdal,Norway
Storfjord,Norway
Strand,Norway
Stranda,Norway
Stryn,Norway
Sula,Norway
Suldal,Norway
Sund,Norway
Sunndal,Norway
Surnadal,Norway
Sveio,Norway
Svelvik,Norway
Sykkylven,Norway
Time,Norway
Tingvoll,Norway
Tinn,Norway
Tjeldsund,Norway
Tjome,Norway
Tokke,Norway
Tolga,Norway
Tonsberg,Norway
Torsken,Norway
Traena,Norway
Tranoy,Norway
Trogstad,Norway
Tromso,Norway
Trondheim,Norway
Trysil,Norway
Tvedestrand,Norway
Tydal,Norway
Tynset,Norway
Tysfjord,Norway
Tysnes,Norway
Tysvaer,Norway
Ullensaker,Norway
Ullensvang,Norway
Ulstein,Norway
Ulvik,Norway
Unjarga Nesseby,Norway
Utsira,Norway
Vadso,Norway
Vaeroy,Norway
Vaga,Norway
Vagan,Norway
Vagsoy,Norway
Vaksdal,Norway
Valer (Hedmark),Norway
Valer (Ostfold),Norway
Valle,Norway
Vang,Norway
Vanylven,Norway
Vardo,Norway
Vefsn,Norway
Vega,Norway
Vegarshei,Norway
Vennesla,Norway
Verdal,Norway
Verran,Norway
Vestby,Norway
Vestnes,Norway
Vestre Slidre,Norway
Vestre Toten,Norway
Vestvagoy,Norway
Vevelstad,Norway
Vik,Norway
Vikna,Norway
Vindafjord,Norway
Vinje,Norway
Volda,Norway
Voss,Norway
Central Russia,Russian Federation
Crimean Russia,Russian Federation
Far Eastern Russia,Russian Federation
North Caucasian Russia,Russian Federation
Northwestern Russia,Russian Federation
Siberian Russia,Russian Federation
Souther Russia,Russian Federation
Ural Russia,Russian Federation
Volga Russia,Russian Federation
"Angelia / Central, ENG",United Kingdom (Great Britain)
"Anglia / Longon, ENG",United Kingdom (Great Britain)
"Anglia / Yorkshire, ENG",United Kingdom (Great Britain)
"Anglia, ENG",United Kingdom (Great Britain)
"Anglia, ENG",United Kingdom (Great Britain)
"Belfast, NIR",United Kingdom (Great Britain)
"Border / Granada, ENG",United Kingdom (Great Britain)
"Border / Tyne Tees, ENG",United Kingdom (Great Britain)
"Border, ENG",United Kingdom (Great Britain)
"Border, ENG/SCT",United Kingdom (Great Britain)
"Central / Granada, ENG",United Kingdom (Great Britain)
"Central / London, ENG",United Kingdom (Great Britain)
"Central / Wales and West, ENG",United Kingdom (Great Britain)
"Central / Yorkshire, ENG",United Kingdom (Great Britain)
"Central, ENG",United Kingdom (Great Britain)
"Central, ENG",United Kingdom (Great Britain)
"Central, SCT",United Kingdom (Great Britain)
"Central, SCT",United Kingdom (Great Britain)
"Granada / Wales and West, ENG",United Kingdom (Great Britain)
"Granada / Yorkshire, ENG",United Kingdom (Great Britain)
"Granada, ENG",United Kingdom (Great Britain)
"Granada, ENG",United Kingdom (Great Britain)
"London / Meridian, ENG",United Kingdom (Great Britain)
"London, ENG",United Kingdom (Great Britain)
"London, ENG",United Kingdom (Great Britain)
"London, ENG",United Kingdom (Great Britain)
"Meridian / Wales and West, WLS",United Kingdom (Great Britain)
"Meridian / Westcountry, ENG",United Kingdom (Great Britain)
"Meridian, ENG",United Kingdom (Great Britain)
"Meridian, ENG",United Kingdom (Great Britain)
"North Ireland, NIR",United Kingdom (Great Britain)
"North Scotland, SCT",United Kingdom (Great Britain)
"North, SCT",United Kingdom (Great Britain)
"South, ScCT",United Kingdom (Great Britain)
"Tyne Tees / Yorkshire, ENG",United Kingdom (Great Britain)
"Tyne Tees, ENG",United Kingdom (Great Britain)
"Tyne Tees, ENG",United Kingdom (Great Britain)
"Wales / West Wales, WLS",United Kingdom (Great Britain)
"Wales and West / Westcountry, WLS",United Kingdom (Great Britain)
"Wales, WLS",United Kingdom (Great Britain)
"West Country, ENG",United Kingdom (Great Britain)
"West, ENG",United Kingdom (Great Britain)
"Westcountry, ENG",United Kingdom (Great Britain)
"Yorkshire, ENG",United Kingdom (Great Britain)
"Yorkshire, ENG",United Kingdom (Great Britain)
"Abilene / Sweetwater, TX",United States
"Albany / Schenectady / Troy, NY",United States
"Albany, GA",United States
"Albuquerque / Santa Fe, NM",United States
"Alexandria, LA",United States
"Alpena, MI",United States
"Amarillo, TX",United States
"Anchorage, AK",United States
"Atlanta, GA",United States
"Augusta, GA / Aiken, SC",United States
"Austin, TX",United States
"Bakersfield, CA",United States
"Baltimore, MD",United States
"Bangor, ME",United States
"Baton Rouge, LA",United States
"Beaumont / Port Arthur, TX",United States
"Bend, OR",United States
"Billings, MT",United States
"Biloxi / Gulfport, MS",United States
"Binghamton, NY",United States
"Birmingham, AL",United States
"Bluefield / Beckley / Oak Hill, WV",United States
"Boise, ID",United States
"Boston, MA / Manchester, NH",United States
"Bowling Green, KY",United States
"Buffalo, NY",United States
"Burlington, VT / Plattsburgh, NY",United States
"Butte / Bozeman, MT",United States
"Casper / Riverton, WY",United States
"Cedar Rapids / Waterloo, IA",United States
"Champaign / Springfield / Decatur, IL",United States
"Charleston / Huntington, WV",United States
"Charleston, SC",United States
"Charlotte, SC",United States
"Charlottesville, VA",United States
"Chattanooga, TN",United States
"Cheyenne, WY / Scottsbluff, NE",United States
"Chicago, IL",United States
"Chico / Redding, CA",United States
"Cincinnati, OH",United States
"Clarksburg / Weston, WV",United States
"Cleaveland / Akron / Canton, OH",United States
"Colorado Springs / Pueblo, CO",United States
"Columbia / Jefferson City, MO",United States
"Columbia, SC",United States
"Columbus / Tupelo / Houston, MS / West Point, AL",United States
"Columbus, GA / Opelika, AL",United States
"Columbus, OH",United States
"Corpus Christi, TX",United States
"Dallas / Fort Worth, TX",United States
"Davenport, IA / Rock Island / Moline, IL",United States
"Dayton, OH",United States
"Denver, CO",United States
"Des Moines / Ames, IA",United States
"Detroit, MI",United States
"Dothan, AL",United States
"Duluth, MN / Superior, WI",United States
"El Paso, TX / Las Cruces, NM",United States
"Elmira / Corning, NY",United States
"Erie, PA",United States
"Eugene, OR",United States
"Eureka, CA",United States
"Evansville, IN",United States
"Fairbanks, AK",United States
"Fargo / Valley City, ND",United States
"Flint / Saginaw / Bay City, MI",United States
"Fort Myers / Naples, FL",United States
"Fort Smith / Fayetteville / Springdale / Rogers, AR ",United States
"Fort Wayne, IN",United States
"Fresno / Visalia, CA",United States
"Gainesville, FL",United States
"Gelndive, MT",United States
"Grand Juntion / Montrose, CO",United States
"Grand Rapids / Kalamazoo / Battle Creek, MI",United States
"Great Falls, MT",United States
"Green Bay / Appleton, WI",United States
"Greensboro / High Point / West Salem, NC",United States
"Greenville / New Bern / Washington, NC",United States
"Greenville / Spartanburg, SC / Asheville, NC",United States
"Greenwood / Greenville, MS",United States
"Harlingen / Weslaco / Brownsville / McAllen, TX",United States
"Harrisburg / Lancaster / Lebanon / York, PA ",United States
"Harrisonburg, VA",United States
"Hartford / New Haven, CT",United States
"Hattiesburg / Laurel, MS",United States
"Helena, MT",United States
"Honolulu, HI",United States
"Houston, TX",United States
"Huntsville / Florence, AL / Decatur, GA",United States
"Idahoe Falls / Pocatello, ID / Jackson, WY",United States
"Indianapolis, IN",United States
"Jackson, MS",United States
"Jackson, TN",United States
"Jacksonville, FL",United States
"Johnstown / Altoona / State College, PA",United States
"Jonesboro, AR",United States
"Joplin, MO / Pittsburg, KS ",United States
"Juneau, AK",United States
"Kansas City, MO",United States
"Knoxville, TN",United States
"La Crosse / Eau Claire, WI",United States
"Lafayette, IN",United States
"Lafayette, LA",United States
"Lake Charles, LA",United States
"Lansing, MI",United States
"Laredo, TX",United States
"Las Vegas, NV",United States
"Lexington, KY",United States
"Lima, OH",United States
"Lincoln / Hastings / Kearney, NE",United States
"Little Rock / Pine Bluff, AR",United States
"Los Angeles, CA",United States
"Louisville, KY",United States
"Lubbock, TX",United States
"Macon, GA",United States
"Madison, WI",United States
"Mankato, MN",United States
"Marquette, MI",United States
"Medford / Klamath Falls, OR",United States
"Memphis, TN",United States
"Meridian, MS",United States
"Miami / Fort Lauderdale, FL",United States
"Milwaukee, WI",United States
"Minneapolis / St. Paul, MN",United States
"Minot / Bismarck / Dickinson / Williston, ND",United States
"Missoula, MT",United States
"Mobile, AL / Pensacola / Fort Walton, FL",United States
"Monroe, LA / El Dorado, AR",United States
"Monterey / Salinas, CA",United States
"Montgomery / Selma, AL",United States
"Myrtle Beach / Florence, SC",United States
"Nashille, TN",United States
"New Orleans, LA",United States
"New York Metropolitan Area, NY",United States
"Norfolk / Portsmouth / Newport News, VA",United States
"North Platte, NE",United States
"Odessa / Midland, TX",United States
"Oklahoma City, OK",United States
"Omaha, NE",United States
"Orlando / Daytona Beach / Melborn, FL",United States
"Ottumwa, IA / Kirksville, MO",United States
"Paducah, KY / Cape Girardeau, MO / Harrisburg, TN",United States
"Palm Springs, CA",United States
"Panama City, FL",United States
"Parkersburg, WV",United States
"Peoria / Bloomington, IL",United States
"Philadelphia, PA",United States
"Phoenix / Prescott, AZ",United States
"Pittsburgh, PA",United States
"Portland, ME / Auburn, NH",United States
"Portland, OR",United States
"Presque Isle, ME",United States
"Providence, RI / New Bedford, MA",United States
"Quincy, IL / Hannibal, MO / Keokuk, IA",United States
"Raleigh / Durham / Fayetteville, NC",United States
"Rapid City, SD",United States
"Reno, NV",United States
"Richmond / Petersburg, VA",United States
"Roanoke / Lynchburg, VA",United States
"Rochester / Austin, MN / Mason City, IA ",United States
"Rochester, NY",United States
"Rockford, IL",United States
"Sacramento / Stockton / Modesto, CA",United States
"Salisbury, MD",United States
"Salt Lake City, UT",United States
"San Angelo, TX",United States
"San Antonio, TX",United States
"San Diego, CA",United States
"San Francisco / Oakland / San Jose, CA",United States
"Santa Barbara / San Marino / San Luis Obispo, CA",United States
"Savannah, GA",United States
"Seattle / Tacoma, WA",United States
"Sherman, TX / Ada, OK",United States
"Shreveport, LA",United States
"Sioux City, IA",United States
"Sioux Falls / Mitchell, SD",United States
"South Bend / Elkhart, IN",United States
"Spokane, WA",United States
"Springfield / Holyoke, MA",United States
"Springfield, MO",United States
"St. Joseph, MO",United States
"St. Louis, MO",United States
"Syracuse, NY",United States
"Tallahassee, FL / Thomasville, GA",United States
"Tampa / St. Pete / Sarasota, FL",United States
"Terre Haute, IN",United States
"Toledo, OH",United States
"Topeka, KS",United States
"Traverse City / Cadillac, MI",United States
"Tri-Cities, TN/VA",United States
"Tucson / Sierra Vista, AZ",United States
"Tulsa, OK",United States
"Twin Falls, ID",United States
"Tyler / Longview, TX",United States
"Utica, NY",United States
"Victoria, TX",United States
"Waco / Temple / Bryan, TX",United States
"Washington, DC",United States
"Watertown, NY",United States
"Wausau / Rhinelander, WI",United States
"West Palm Beach / Fort Pierce, FL",United States
"Wheeling, WV / Steubenville, OH",United States
"Wichita / Hutchinson Plus, KS",United States
"Wichita Falls, TX / Lawton, OK",United States
"Wilkes Barre / Scranton / Hazleton, PA",United States
"Wilmington, NC",United States
"Yakima / Pasco / Richland / Kennewick, WA",United States
"Youngstown, OH",United States
"Yuma, AZ / El Centro, CA",United States
"Zanesville, OH",United States
